pathway	padj	NES	Sig in sSNAPPY
AXIN missense mutants destabilize the destruction complex	0.8456883681375791	-0.8478016806397299	FALSE
Abacavir ADME	0.9951213836321174	-0.4900719601428871	FALSE
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	0.6637575356489189	-1.0548008756995737	TRUE
Aberrant regulation of mitotic cell cycle due to RB1 defects	0.051523645304120534	-1.6010102594768194	TRUE
Aberrant regulation of mitotic exit in cancer due to RB1 defects	0.03156519857051694	-1.723668820513343	FALSE
Abortive elongation of HIV-1 transcript in the absence of Tat	0.02537453001161233	-1.7852673689693357	FALSE
Acetylcholine Neurotransmitter Release Cycle	0.864227753113349	0.7909980166717263	TRUE
Acetylcholine regulates insulin secretion	0.8769850649756427	-0.7960651225480548	FALSE
Activated NOTCH1 Transmits Signal to the Nucleus	0.6720567120723026	1.0472526603188903	FALSE
Activated NTRK2 signals through CDK5	0.5047853148606372	1.2897474124984571	FALSE
Activated NTRK2 signals through FRS2 and FRS3	0.22075108329321136	-1.5052428376575284	FALSE
Activated NTRK2 signals through FYN	0.9013910381021085	-0.7453100656600763	FALSE
Activated NTRK2 signals through PI3K	0.8457382097295331	0.8361462039662318	FALSE
Activated NTRK2 signals through PLCG1	0.8645934992969978	-0.8544718288546999	FALSE
Activated NTRK2 signals through RAS	0.4857059225290272	-1.2502149727984821	FALSE
Activated NTRK3 signals through PI3K	0.9803509548035096	-0.567717435085524	FALSE
Activated NTRK3 signals through RAS	0.4247118155619597	-1.3166362871340471	FALSE
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	0.8911997667525148	-0.7777322371392772	FALSE
Activated point mutants of FGFR2	0.7449228269699432	-1.0196607149457986	FALSE
Activation of AMPK downstream of NMDARs	0.8729740847387906	0.814658426650234	FALSE
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	3.9277001105618247e-4	-1.950833953614331	FALSE
Activation of ATR in response to replication stress	1.9989135151444318e-4	-2.0734269781226007	FALSE
Activation of BAD and translocation to mitochondria	0.25660193320914315	-1.4948150882203586	FALSE
Activation of BH3-only proteins	0.14586189231827057	-1.5058167738943964	FALSE
Activation of C3 and C5	0.3662670183388311	1.371169298990049	FALSE
Activation of Ca-permeable Kainate Receptor	0.8911997667525148	0.7218545233083405	FALSE
Activation of G protein gated Potassium channels	0.6587998634983926	-1.079505648422068	FALSE
Activation of GABAB receptors	0.8775294135539247	-0.8080443421165419	FALSE
Activation of HOX genes during differentiation	0.40433859553620033	-1.2271150876720192	FALSE
Activation of IRF3, IRF7 mediated by TBK1, IKBKE	0.7399731016684236	0.9690254522395582	FALSE
Activation of Matrix Metalloproteinases	0.6677248335629018	1.0577939134349845	FALSE
Activation of NF-kappaB in B cells	0.4170066533169691	-1.2192763644121025	FALSE
Activation of NIMA Kinases NEK9, NEK6, NEK7	0.2397228939285014	-1.487963912598499	TRUE
Activation of NMDA receptors and postsynaptic events	0.4321641091506077	-1.2161102894390252	FALSE
Activation of NOXA and translocation to mitochondria	0.5378299120234604	-1.2003706034328483	TRUE
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	0.6952715743038324	1.0346133890211742	FALSE
Activation of PUMA and translocation to mitochondria	0.23444391069143128	-1.498065633226404	FALSE
Activation of RAC1	0.2401365924172354	-1.501234512943971	FALSE
Activation of RAC1 downstream of NMDARs	0.5639533633521273	-1.178445232343715	FALSE
Activation of RAS in B cells	0.8701545474631656	-0.8337168528735377	FALSE
Activation of SMO	0.7281111620094671	0.9936730899810701	FALSE
Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.40433859553620033	-1.2271150876720192	FALSE
Activation of caspases through apoptosome-mediated cleavage	0.7873233926611666	0.899332548174874	FALSE
Activation of gene expression by SREBF (SREBP)	0.003967396419303045	-1.8846590355962982	TRUE
Activation of kainate receptors upon glutamate binding	0.8521097890335196	-0.8649554469841595	FALSE
Activation of rRNA Expression by ERCC6 (CSB) and EHMT2 (G9a)	0.23444391069143128	-1.4765608319206878	FALSE
Activation of the AP-1 family of transcription factors	0.26562810739968873	1.5447811127090652	FALSE
Activation of the TFAP2 (AP-2) family of transcription factors	0.9152914559488954	0.7232154776176459	FALSE
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	1.7691693829753884e-4	-2.0496761908185874	FALSE
Activation of the phototransduction cascade	0.8589801938474505	-0.8807521022528891	FALSE
Activation of the pre-replicative complex	0.0012103829819953946	-1.965325502953295	TRUE
Acyl chain remodeling of CL	0.07479012054177413	1.5858098095129394	FALSE
Acyl chain remodeling of DAG and TAG	0.5102239532619279	1.2555807615104457	FALSE
Acyl chain remodelling of PC	0.5639533633521273	1.2139678679337214	FALSE
Acyl chain remodelling of PE	0.4471983357305563	1.3529653648981759	FALSE
Acyl chain remodelling of PG	0.9951213836321174	0.4669781303426433	FALSE
Acyl chain remodelling of PI	0.8769850649756427	0.8034206479571117	FALSE
Acyl chain remodelling of PS	0.597943794379438	-1.1605439307791592	FALSE
Adaptive Immune System	0.7783799177710253	-0.978583500999945	FALSE
Adenylate cyclase activating pathway	0.6479589472708739	-1.1187157217742878	FALSE
Adenylate cyclase inhibitory pathway	0.9447720135987335	0.6312863504107002	FALSE
Adherens junctions interactions	0.7535654913575944	-0.9694614820615117	FALSE
Adrenaline,noradrenaline inhibits insulin secretion	0.8164227813454048	-0.8964214097571409	FALSE
Advanced glycosylation endproduct receptor signaling	0.9060562616243025	0.7185345951271844	FALSE
Aflatoxin activation and detoxification	0.560327435353115	1.237998527835592	FALSE
Aggrephagy	0.9006166091620263	-0.7752424274216225	FALSE
Alpha-defensins	0.8199297550432276	-0.904739425134098	FALSE
Alpha-oxidation of phytanate	0.40121118260452876	1.3804262184537528	FALSE
Alternative complement activation	0.4226793352672206	1.3183652304934126	FALSE
Amino acid and derivative metabolism	3.3629250298188804e-5	-1.7506228423018066	FALSE
Amino acid transport across the plasma membrane	0.7115911381525657	-1.0099603072503731	FALSE
Amino acids regulate mTORC1	0.30512180629827684	1.2959224772256164	TRUE
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	1.3302032696098162e-7	-2.2812075376752907	FALSE
Amplification of signal from the kinetochores	1.3302032696098162e-7	-2.2812075376752907	FALSE
Amyloid fiber formation	0.6105505761843789	1.1104480505749144	FALSE
Anchoring fibril formation	0.983427040066924	0.5351683619140842	FALSE
Anchoring of the basal body to the plasma membrane	0.9803509548035096	-0.7238976319321381	FALSE
Androgen biosynthesis	0.880814326921954	-0.8198664444570104	FALSE
Antagonism of Activin by Follistatin	0.1656109959690477	1.5147609946182137	FALSE
Anti-inflammatory response favouring Leishmania parasite infection	0.8521097890335196	-0.8629710926122446	FALSE
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	0.7353267597216887	0.9881050962227023	FALSE
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0.9897277611404367	-0.6077900199353615	FALSE
Antigen processing-Cross presentation	0.5742191676212295	1.091047119683697	FALSE
Antigen processing: Ubiquitination & Proteasome degradation	0.028028850609971213	-1.417206671796744	FALSE
Antimicrobial peptides	0.0963331811475972	1.7224157645948939	FALSE
Antiviral mechanism by IFN-stimulated genes	6.974556346464011e-7	-2.196919352978294	TRUE
Apoptosis	0.401434369747445	-1.1756410420219683	FALSE
Apoptosis induced DNA fragmentation	0.23444391069143128	-1.5033701136455753	TRUE
Apoptotic cleavage of cell adhesion  proteins	0.9014002567806131	-0.755746197734715	FALSE
Apoptotic cleavage of cellular proteins	0.9006166091620263	0.8043034036337429	FALSE
Apoptotic execution phase	0.7294617606581674	-0.978273353366406	FALSE
Apoptotic factor-mediated response	0.941714672992206	-0.7084496864325167	FALSE
Aquaporin-mediated transport	0.9006166091620263	-0.7844422519652023	FALSE
Arachidonic acid metabolism	0.2402415594635866	1.4958188627900895	FALSE
Aryl hydrocarbon receptor signalling	0.864227753113349	0.7922938375389454	FALSE
Asparagine N-linked glycosylation	0.7662484833222684	0.9789917216807922	FALSE
Aspartate and asparagine metabolism	0.8199297550432276	-0.8813358082923624	FALSE
Aspirin ADME	0.7031085268841251	-1.0558887503233385	FALSE
Assembly Of The HIV Virion	0.5353267564296197	1.1863104198050218	FALSE
Assembly and cell surface presentation of NMDA receptors	0.7161408815903197	-1.025063605479278	FALSE
Assembly of active LPL and LIPC lipase complexes	0.6999402707210177	1.032831912561498	FALSE
Assembly of collagen fibrils and other multimeric structures	0.6796070113849679	-1.0415967720777857	FALSE
Assembly of the ORC complex at the origin of replication	0.2627130783555364	-1.45957045982903	FALSE
Assembly of the pre-replicative complex	7.392587803983204e-5	-1.982893022933042	FALSE
Association of TriC/CCT with target proteins during biosynthesis	0.2638383575883576	-1.4276442287847022	FALSE
Asymmetric localization of PCP proteins	0.2627130783555364	-1.355202086901926	FALSE
Attachment and Entry	0.4819973718791064	1.2043384116827807	FALSE
Attachment of GPI anchor to uPAR	0.3599521824204973	-1.3676555701261772	FALSE
Attenuation phase	0.4921212121212121	1.221410945110226	FALSE
Autodegradation of Cdh1 by Cdh1:APC/C	0.02203392115040721	-1.7106203433179765	FALSE
Autodegradation of the E3 ubiquitin ligase COP1	0.16500947756026665	-1.4480448760074536	FALSE
Autophagy	0.7272017184143722	-0.9949148728850814	FALSE
Axon guidance	2.186620378324433e-5	-1.6550732353214561	FALSE
Axonal growth inhibition (RHOA activation)	0.32698422131756455	1.3910922818787173	FALSE
Axonal growth stimulation	0.7771131923252307	0.9862403334516712	FALSE
Azathioprine ADME	0.4170066533169691	-1.2582134428232974	FALSE
B Cell Activation	0.4432398839939235	-1.1788809818234987	FALSE
B-WICH complex positively regulates rRNA expression	0.2989817415730337	-1.3758559885982555	FALSE
BBSome-mediated cargo-targeting to cilium	0.893671029520086	-0.7904280224562954	FALSE
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	0.8771146992930688	-0.7947064669436568	FALSE
BMAL1:CLOCK,NPAS2 activates circadian gene expression	0.7407652199456561	0.9652233038645635	FALSE
Bacterial Infection Pathways	0.8301408901801735	0.884228899625152	FALSE
Base Excision Repair	0.8574875595903901	-0.8615806786529115	FALSE
Base-Excision Repair, AP Site Formation	0.5753378378378379	1.2231913160352192	FALSE
Basigin interactions	0.8336842765258192	-0.8927509414447754	FALSE
Beta defensins	0.10317693184992376	1.3357280449679476	FALSE
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	0.6637575356489189	1.085865816868086	FALSE
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	0.9013910381021085	0.7084404611912273	FALSE
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	0.864227753113349	0.7965616733446167	FALSE
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	0.84424027206283	0.8397423389323728	FALSE
Beta-catenin independent WNT signaling	0.13950505066137492	-1.381598480633572	FALSE
Beta-catenin phosphorylation cascade	0.6637575356489189	-1.0547256594663914	FALSE
Beta-oxidation of pristanoyl-CoA	0.6179105557590641	1.1601480044306127	FALSE
Beta-oxidation of very long chain fatty acids	0.11231612560923387	1.6504950226325918	FALSE
Bicarbonate transporters	0.5413223140495868	-1.1947449455841908	FALSE
Bile acid and bile salt metabolism	0.32698422131756455	1.3709168170767807	FALSE
Binding and Uptake of Ligands by Scavenger Receptors	0.4141911764705883	-1.2817894415267457	FALSE
Binding and entry of HIV virion	0.6601469882452383	1.0971919382638697	FALSE
Binding of TCF/LEF:CTNNB1 to target gene promoters	0.5396892604534282	1.282215055833074	FALSE
Biological oxidations	0.016437489003947415	1.6755797321132866	FALSE
Biosynthesis of DHA-derived SPMs	0.31231450396535787	1.445315819448643	FALSE
Biosynthesis of E-series 18(S)-resolvins	0.3725184855233853	1.3678037107080059	FALSE
Biosynthesis of EPA-derived SPMs	0.3725184855233853	1.3678037107080059	FALSE
Biosynthesis of protectins	0.7710201793721972	0.9784334393576255	FALSE
Biosynthesis of specialized proresolving mediators (SPMs)	0.2989817415730337	1.4605902088406035	FALSE
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0.2397228939285014	1.3411981047393662	FALSE
Biotin transport and metabolism	0.7772155054219121	-0.9334712598514285	FALSE
Blood group systems biosynthesis	0.06645495292448723	1.6789309692235501	FALSE
Branched-chain amino acid catabolism	0.5371497706196008	1.1684412331818161	FALSE
Budding and maturation of HIV virion	0.6374362328319163	1.0918953286751372	FALSE
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	0.8505848514871505	-0.8753890436707517	FALSE
C-type lectin receptors (CLRs)	0.2990604219458821	-1.260331446088281	FALSE
CASP8 activity is inhibited	0.8482624649255343	0.8482953145881533	FALSE
CD163 mediating an anti-inflammatory response	0.8457382097295331	0.8296662436573318	FALSE
CD209 (DC-SIGN) signaling	0.09544177332105462	-1.612261166792647	FALSE
CD22 mediated BCR regulation	0.8893014533520862	0.77638030900700306	FALSE
CD28 co-stimulation	0.6587998634983926	-1.0991807092398445	FALSE
CD28 dependent PI3K/Akt signaling	0.8578297002132012	-0.855019511977941	FALSE
CD28 dependent Vav1 pathway	0.9152713805552098	-0.7320727089626494	FALSE
CDC42 GTPase cycle	0.7527217741935484	-0.9768405463857347	FALSE
CDC6 association with the ORC:origin complex	0.2762345346960732	-1.4051097463408846	FALSE
CDK-mediated phosphorylation and removal of Cdc6	0.01660541861545483	-1.6506830645083517	FALSE
CHL1 interactions	0.9503892357952195	0.6231763571851603	FALSE
CLEC7A (Dectin-1) induces NFAT activation	0.9524645323580617	0.6868317021857984	FALSE
CLEC7A (Dectin-1) signaling	0.2998691955526488	-1.2542652139619115	FALSE
CLEC7A/inflammasome pathway	0.9980611687602402	-0.4522043224941306	FALSE
COPI-dependent Golgi-to-ER retrograde traffic	0.8911997667525148	0.8516001548307972	FALSE
COPI-independent Golgi-to-ER retrograde traffic	0.7115911381525657	-1.0031919350270497	FALSE
COPI-mediated anterograde transport	0.9557737843551797	0.7955871722069148	FALSE
COPII-mediated vesicle transport	0.2638383575883576	1.3561264516925466	FALSE
CREB phosphorylation	0.9409439180777864	-0.6790122828300453	FALSE
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	0.6771157194378808	-1.0348049110689965	FALSE
CREB1 phosphorylation through the activation of Adenylate Cyclase	0.900494417862839	-0.755728448620848	FALSE
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	0.8033670837322715	-0.9225081621655764	FALSE
CREB3 factors activate genes	0.3036986990965212	1.4540827338632059	FALSE
CRMPs in Sema3A signaling	0.5102239532619279	-1.220164290706823	FALSE
CS/DS degradation	0.2671619505444481	1.4638339311197102	FALSE
CTLA4 inhibitory signaling	0.401434369747445	-1.3044208183276917	FALSE
CTNNB1 S33 mutants aren't phosphorylated	0.32183000391696043	-1.3777381776649762	FALSE
CTNNB1 S37 mutants aren't phosphorylated	0.32183000391696043	-1.3777381776649762	FALSE
CTNNB1 S45 mutants aren't phosphorylated	0.32183000391696043	-1.3777381776649762	FALSE
CTNNB1 T41 mutants aren't phosphorylated	0.32183000391696043	-1.3777381776649762	FALSE
Ca-dependent events	0.4729297309968939	-1.2325667628409556	FALSE
Ca2+ pathway	0.6311500888099467	-1.0822301821855167	FALSE
CaM pathway	0.528534910222058	-1.1768060494467667	FALSE
CaMK IV-mediated phosphorylation of CREB	0.6040342343338307	-1.1400464577821918	FALSE
Calcineurin activates NFAT	0.9716802605978795	-0.5955100442397943	FALSE
Calcitonin-like ligand receptors	0.3307007104475459	1.335102938390452	FALSE
Calmodulin induced events	0.528534910222058	-1.1768060494467667	FALSE
Calnexin/calreticulin cycle	0.8457382097295331	-0.8592716744726111	FALSE
Cam-PDE 1 activation	0.8769850649756427	0.764842091904812	FALSE
Cap-dependent Translation Initiation	3.6987218894715376e-9	-2.2700441569971836	FALSE
Carbohydrate metabolism	0.4365560901494049	-1.1405438995640456	FALSE
Carboxyterminal post-translational modifications of tubulin	0.632372760388184	-1.0923587372375307	TRUE
Cardiac conduction	0.960818954968184	0.7370199033101699	FALSE
Cargo concentration in the ER	0.010919055127710055	1.8809651966956844	FALSE
Cargo recognition for clathrin-mediated endocytosis	0.7772155054219121	-0.9482578757576363	FALSE
Cargo trafficking to the periciliary membrane	0.8264892745666659	-0.8915914599684717	FALSE
Carnitine metabolism	0.14002260408461248	1.5751704812538105	FALSE
Caspase activation via extrinsic apoptotic signalling pathway	0.18526045588743403	1.5340379691806512	FALSE
Caspase-mediated cleavage of cytoskeletal proteins	0.4986656308550016	1.2467366679279719	FALSE
Cation-coupled Chloride cotransporters	0.5622198731501056	-1.1843606916915503	FALSE
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.0021388565685793223	-1.8481157576608334	FALSE
Cell Cycle	3.83949066634575e-21	-2.2629572094860775	FALSE
Cell Cycle Checkpoints	1.9813538246012078e-15	-2.4029476247094297	FALSE
Cell Cycle, Mitotic	8.112012105856832e-18	-2.2654004651851403	FALSE
Cell death signalling via NRAGE, NRIF and NADE	0.356168115942029	1.239925390287865	FALSE
Cell junction organization	0.8020225136676153	-0.9309637983111286	FALSE
Cell recruitment (pro-inflammatory response)	0.12034008128422584	1.6955632628599486	FALSE
Cell surface interactions at the vascular wall	0.9282435274534322	-0.793513225748856	FALSE
Cell-Cell communication	0.7958154322048462	-0.933529363787851	FALSE
Cell-cell junction organization	0.8072557105129037	-0.894050847036159	FALSE
Cell-extracellular matrix interactions	0.7733946712670117	-0.9435225318979734	FALSE
Cellular Senescence	0.6999402707210177	-1.00833208520984	FALSE
Cellular hexose transport	0.9282435274534322	-0.7057367986989986	FALSE
Cellular response to chemical stress	0.006110655856176387	-1.5900947542274866	FALSE
Cellular response to heat stress	0.6601469882452383	-1.0499163321395868	FALSE
Cellular response to hypoxia	0.21204959694389586	-1.3619379558321616	FALSE
Cellular response to starvation	7.934975054262561e-5	-1.871276425713506	TRUE
Cellular responses to stimuli	1.8447653704869242e-5	-1.5593029071686118	FALSE
Cellular responses to stress	1.1516836782673524e-5	-1.5635552545626488	FALSE
Centrosome maturation	0.5371497706196008	-1.1268988402448035	FALSE
ChREBP activates metabolic gene expression	0.034312486956238855	-1.6565632184247694	FALSE
Chaperone Mediated Autophagy	0.584128568414561	1.128022646128266	FALSE
Chaperonin-mediated protein folding	0.23444391069143128	-1.409220897002202	FALSE
Chemokine receptors bind chemokines	0.7783799177710253	0.9365854885053162	FALSE
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	0.13849720213855052	-1.6123712617175818	FALSE
Cholesterol biosynthesis	0.6557611513363726	-1.0927862142062061	FALSE
Chondroitin sulfate biosynthesis	0.8199297550432276	0.8781431041458072	FALSE
Chondroitin sulfate/dermatan sulfate metabolism	0.594854018112802	1.1099016906749442	FALSE
Chromatin modifying enzymes	1.3241475677658448e-4	-1.7493231987467976	TRUE
Chromatin organization	1.3241475677658448e-4	-1.7493231987467976	TRUE
Chromosome Maintenance	2.306256448876066e-4	-1.961942632839349	FALSE
Chylomicron assembly	0.8142075529350831	-0.9501268087746568	FALSE
Chylomicron clearance	0.9394123525482968	0.6499638726730936	FALSE
Chylomicron remodeling	0.6645813462965052	-1.0974334100900487	FALSE
Cilium Assembly	0.998292072760158	0.691845595578302	FALSE
Circadian Clock	0.26173826173826176	1.30310222885955	FALSE
Citric acid cycle (TCA cycle)	0.8904395346933476	0.7917140038022817	FALSE
Class A/1 (Rhodopsin-like receptors)	0.6677248335629018	1.054147633855302	FALSE
Class B/2 (Secretin family receptors)	0.8998773340602426	0.8012772318888263	FALSE
Class I MHC mediated antigen processing & presentation	0.2278675357984372	-1.2311831967566715	FALSE
Class I peroxisomal membrane protein import	0.9655730337078653	0.6649053890090061	FALSE
Classical antibody-mediated complement activation	0.7783799177710253	0.9830501649815429	FALSE
Clathrin-mediated endocytosis	0.9803509548035096	-0.7509761065012858	FALSE
Clearance of dopamine	0.6720567120723026	1.0778962319605794	FALSE
Cleavage of the damaged purine	0.5753378378378379	1.2231913160352192	FALSE
Cleavage of the damaged pyrimidine	0.5753378378378379	1.2231913160352192	FALSE
Cobalamin (Cbl, vitamin B12) transport and metabolism	0.8729740847387906	-0.8082295126711132	FALSE
Coenzyme A biosynthesis	0.7661816248358779	0.9509794713118966	FALSE
Cohesin Loading onto Chromatin	0.31186396337475475	-1.4263230004969463	FALSE
Collagen biosynthesis and modifying enzymes	0.3851803918897442	-1.298180472441952	FALSE
Collagen chain trimerization	0.4446599587828828	-1.28437822577305	FALSE
Collagen degradation	0.7399731016684236	0.9686753851656215	FALSE
Collagen formation	0.5096062241981582	-1.1590595456772346	FALSE
Common Pathway of Fibrin Clot Formation	0.4432398839939235	1.3287241238979202	FALSE
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	0.4132733133973829	-1.3287144226991696	FALSE
Complement cascade	0.009564467150196173	1.9722878139077848	FALSE
Complex I biogenesis	0.12583498571607815	-1.5024118252944199	FALSE
Condensation of Prometaphase Chromosomes	0.0059992656324825725	-1.8244397528295162	TRUE
Condensation of Prophase Chromosomes	0.0038461598392397576	-1.8779056618117278	TRUE
Constitutive Signaling by AKT1 E17K in Cancer	0.8552725252209548	-0.8506833568349617	FALSE
Constitutive Signaling by Aberrant PI3K in Cancer	0.9726043352307505	0.704486927064497	FALSE
Constitutive Signaling by EGFRvIII	0.3675762345187779	-1.3335976550235442	FALSE
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	0.8199297550432276	-0.9016689215540343	FALSE
Constitutive Signaling by NOTCH1 HD Domain Mutants	0.8191853013578312	0.8936816599062781	FALSE
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	0.9655730337078653	0.7324136725876395	FALSE
Constitutive Signaling by NOTCH1 PEST Domain Mutants	0.9655730337078653	0.7324136725876395	FALSE
Constitutive Signaling by Overexpressed ERBB2	0.47133412554700466	-1.2336744797121344	FALSE
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	0.01283282987112779	-1.8146068319320834	FALSE
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	0.1392136712202933	-1.5653315602658806	FALSE
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	0.49787046690041725	-1.2205526011925	FALSE
Costimulation by the CD28 family	0.007116376112385548	1.871318762932305	FALSE
Creatine metabolism	0.22136107171844824	1.5476257190008973	FALSE
Creation of C4 and C2 activators	0.7783799177710253	0.9830501649815429	FALSE
Cristae formation	0.35760675556088856	-1.3625520112782754	FALSE
Cross-presentation of particulate exogenous antigens (phagosomes)	0.630536353399506	-1.1364468940729233	FALSE
Cross-presentation of soluble exogenous antigens (endosomes)	0.051026352593436984	-1.637621378567527	FALSE
Crosslinking of collagen fibrils	0.11231612560923387	-1.5604016174761228	FALSE
Cyclin A/B1/B2 associated events during G2/M transition	0.08202164867994483	-1.6202005725524442	TRUE
Cyclin A:Cdk2-associated events at S phase entry	0.2527273635181788	-1.3293991517764432	FALSE
Cyclin D associated events in G1	0.6587998634983926	-1.041025877529095	FALSE
Cyclin E associated events during G1/S transition	0.31218224387611887	-1.2795683556069275	FALSE
Cytochrome P450 - arranged by substrate type	0.2623560546455904	1.4285142872067986	FALSE
Cytochrome c-mediated apoptotic response	0.8457382097295331	0.8687818463787814	FALSE
Cytokine Signaling in Immune system	0.386752350192566	-1.113557483258531	TRUE
Cytoprotection by HMOX1	0.08069830386210142	-1.5433294563961635	FALSE
Cytosolic iron-sulfur cluster assembly	0.6720567120723026	-1.0604894052090887	FALSE
Cytosolic sensors of pathogen-associated DNA	0.2762345346960732	-1.3598996232770262	FALSE
Cytosolic sulfonation of small molecules	0.18284930503175362	1.6489529659616609	FALSE
Cytosolic tRNA aminoacylation	0.9681187338557856	-0.5942810840112343	FALSE
DAG and IP3 signaling	0.47401068290161397	-1.2375272793065615	FALSE
DAP12 interactions	0.8895756242826067	-0.7960256619181937	FALSE
DAP12 signaling	0.7394226776827676	-0.9832512802723612	FALSE
DARPP-32 events	0.8645934992969978	-0.8314689968722458	FALSE
DCC mediated attractive signaling	0.7783799177710253	-0.9334773293930939	FALSE
DDX58/IFIH1-mediated induction of interferon-alpha/beta	0.2760871800143929	-1.321218905372884	FALSE
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	0.07479012054177413	-1.628727217391495	FALSE
DNA Damage Bypass	0.4170066533169691	-1.226047019639893	FALSE
DNA Damage Recognition in GG-NER	0.7783799177710253	-0.9411078548989958	FALSE
DNA Damage Reversal	0.7783799177710253	0.9195340307393203	FALSE
DNA Damage/Telomere Stress Induced Senescence	0.7071755688963766	-1.0211427344180497	FALSE
DNA Double Strand Break Response	0.2278675357984372	-1.4511066991710038	FALSE
DNA Double-Strand Break Repair	1.7404449463249123e-4	-1.896905421366979	FALSE
DNA Repair	0.0017187564843819019	-1.6065105964060455	FALSE
DNA Replication	2.323126211706014e-6	-2.0903466155491324	FALSE
DNA Replication Pre-Initiation	3.637905176201802e-5	-2.0343046837880063	FALSE
