Pathway	FDR	Sig in sSNAPPY
Diseases of mitotic cell cycle	0.04632927250194958	TRUE
Aberrant regulation of mitotic cell cycle due to RB1 defects	0.04632927250194958	TRUE
Epigenetic regulation of gene expression	0.04686246543197335	TRUE
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	0.047131225657377186	FALSE
Mitotic Spindle Checkpoint	0.047131225657377186	FALSE
Resolution of Sister Chromatid Cohesion	0.047131225657377186	TRUE
Influenza Infection	0.047131225657377186	FALSE
Processing and activation of SUMO	0.047131225657377186	FALSE
GP1b-IX-V activation signalling	0.047131225657377186	FALSE
Interactions of Rev with host cellular proteins	0.047131225657377186	FALSE
Synthesis of Leukotrienes (LT) and Eoxins (EX)	0.047131225657377186	FALSE
EML4 and NUDC in mitotic spindle formation	0.047131225657377186	FALSE
HATs acetylate histones	0.047131225657377186	TRUE
Phosphorylation of Emi1	0.047131225657377186	TRUE
Pre-NOTCH Transcription and Translation	0.047131225657377186	TRUE
Formation of Fibrin Clot (Clotting Cascade)	0.047131225657377186	FALSE
SARS-CoV-2 modulates host translation machinery	0.047285377530542114	FALSE
Major pathway of rRNA processing in the nucleolus and cytosol	0.047285377530542114	TRUE
HCMV Early Events	0.047285377530542114	FALSE
Generation of second messenger molecules	0.047285377530542114	TRUE
rRNA processing in the nucleus and cytosol	0.047285377530542114	TRUE
Cell Cycle Checkpoints	0.047285377530542114	FALSE
Phosphorylation of CD3 and TCR zeta chains	0.047285377530542114	FALSE
Terminal pathway of complement	0.047285377530542114	TRUE
Phosphorylation of the APC/C	0.047285377530542114	TRUE
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	0.047285377530542114	FALSE
rRNA processing	0.047285377530542114	TRUE
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.047285377530542114	FALSE
IGF1R signaling cascade	0.047285377530542114	FALSE
Translation of Structural Proteins	0.047285377530542114	FALSE
Nuclear Events (kinase and transcription factor activation)	0.047285377530542114	FALSE
Glycolysis	0.047285377530542114	FALSE
E2F mediated regulation of DNA replication	0.047285377530542114	FALSE
SARS-CoV-1 Infection	0.047285377530542114	FALSE
Postmitotic nuclear pore complex (NPC) reformation	0.047285377530542114	FALSE
Aberrant regulation of mitotic exit in cancer due to RB1 defects	0.047285377530542114	FALSE
Initiation of Nuclear Envelope (NE) Reformation	0.047285377530542114	FALSE
HCMV Infection	0.047285377530542114	FALSE
Unwinding of DNA	0.047285377530542114	FALSE
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	0.047285377530542114	FALSE
Inactivation of APC/C via direct inhibition of the APC/C complex	0.047285377530542114	FALSE
Condensation of Prometaphase Chromosomes	0.047285377530542114	TRUE
Phase I - Functionalization of compounds	0.047285377530542114	FALSE
Glucose metabolism	0.047285377530542114	FALSE
M Phase	0.047285377530542114	FALSE
Chromatin modifying enzymes	0.047285377530542114	TRUE
Chromatin organization	0.047285377530542114	TRUE
G0 and Early G1	0.04741818800028396	FALSE
U12 Dependent Splicing	0.04741818800028396	FALSE
Influenza Viral RNA Transcription and Replication	0.04741818800028396	FALSE
Late SARS-CoV-2 Infection Events	0.04741818800028396	FALSE
Signaling by FGFR in disease	0.04741818800028396	FALSE
Regulation of expression of SLITs and ROBOs	0.04741818800028396	FALSE
SUMOylation of ubiquitinylation proteins	0.04741818800028396	TRUE
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	0.04741818800028396	FALSE
Antagonism of Activin by Follistatin	0.04741818800028396	FALSE
tRNA processing	0.04741818800028396	FALSE
Deubiquitination	0.0478160120627248	TRUE
Abortive elongation of HIV-1 transcript in the absence of Tat	0.0478160120627248	FALSE
Competing endogenous RNAs (ceRNAs) regulate PTEN translation	0.0478160120627248	FALSE
Regulation of NPAS4 mRNA translation	0.0478160120627248	TRUE
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	0.0478160120627248	FALSE
Transport of the SLBP independent Mature mRNA	0.047970239948166654	TRUE
Signaling by FGFR2	0.047970239948166654	FALSE
NFE2L2 regulates pentose phosphate pathway genes	0.048209634641743805	FALSE
Transport of the SLBP Dependant Mature mRNA	0.04926298049273273	TRUE
Assembly Of The HIV Virion	0.050259212718144895	FALSE
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	0.05028539850103485	FALSE
Separation of Sister Chromatids	0.05028539850103485	FALSE
Infectious disease	0.05028539850103485	FALSE
IRS-related events triggered by IGF1R	0.05028539850103485	FALSE
Pausing and recovery of Tat-mediated HIV elongation	0.05028539850103485	FALSE
Tat-mediated HIV elongation arrest and recovery	0.05028539850103485	FALSE
Mitotic G1 phase and G1/S transition	0.05113511708104043	FALSE
Membrane binding and targetting of GAG proteins	0.05113511708104043	FALSE
Synthesis And Processing Of GAG, GAGPOL Polyproteins	0.05113511708104043	FALSE
Processing of Capped Intron-Containing Pre-mRNA	0.05204805430269731	TRUE
Formation of WDR5-containing histone-modifying complexes	0.05204805430269731	FALSE
Neurotransmitter release cycle	0.05204805430269731	FALSE
DNA Repair	0.05221720182710846	FALSE
Transport of Mature mRNAs Derived from Intronless Transcripts	0.05221720182710846	TRUE
snRNP Assembly	0.05221720182710846	TRUE
Non-coding RNA Metabolism	0.05221720182710846	TRUE
PECAM1 interactions	0.05221720182710846	FALSE
Polo-like kinase mediated events	0.05221720182710846	TRUE
mRNA Splicing	0.05221720182710846	TRUE
Transport of Mature mRNA Derived from an Intronless Transcript	0.05221720182710846	TRUE
Protein ubiquitination	0.0524558618046747	FALSE
Condensation of Prophase Chromosomes	0.053346178885146325	TRUE
Negative epigenetic regulation of rRNA expression	0.053412017702636955	TRUE
TRAF3-dependent IRF activation pathway	0.053412017702636955	TRUE
Signaling by BMP	0.053425447875910324	FALSE
SARS-CoV-1-host interactions	0.05463030290375908	FALSE
Signaling by ROBO receptors	0.05487940108337237	FALSE
Interleukin-4 and Interleukin-13 signaling	0.05487940108337237	FALSE
Antimicrobial peptides	0.05491761140818458	FALSE
pre-mRNA splicing	0.05510992744594671	TRUE
RNA Polymerase III Transcription Initiation From Type 1 Promoter	0.05510992744594671	FALSE
Chromosome Maintenance	0.05545943260628038	FALSE
Homologous DNA Pairing and Strand Exchange	0.057536909095407825	TRUE
E2F-enabled inhibition of pre-replication complex formation	0.057536909095407825	FALSE
Nonsense-Mediated Decay (NMD)	0.059544668930375924	TRUE
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	0.059544668930375924	TRUE
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	0.06013498213493337	FALSE
RHO GTPases Activate Formins	0.06061496186334967	FALSE
NGF-stimulated transcription	0.06061496186334967	TRUE
SARS-CoV-1 modulates host translation machinery	0.06061496186334967	FALSE
HIV elongation arrest and recovery	0.06094857882799181	FALSE
Pausing and recovery of HIV elongation	0.06094857882799181	FALSE
G2/M Checkpoints	0.06094857882799181	TRUE
DNA Replication	0.06094857882799181	FALSE
S Phase	0.06094857882799181	FALSE
Signaling by FGFR2 in disease	0.06094857882799181	FALSE
TICAM1,TRAF6-dependent induction of TAK1 complex	0.06094857882799181	FALSE
SRP-dependent cotranslational protein targeting to membrane	0.06094857882799181	FALSE
Signaling by FGFR	0.06094857882799181	FALSE
DNA Double-Strand Break Repair	0.06094857882799181	FALSE
DNA Damage Bypass	0.06094857882799181	FALSE
G2/M DNA damage checkpoint	0.06118845549903636	FALSE
Ub-specific processing proteases	0.06118845549903636	FALSE
Transcription of E2F targets under negative control by DREAM complex	0.06118845549903636	FALSE
G1/S-Specific Transcription	0.06118845549903636	FALSE
Biological oxidations	0.06118845549903636	FALSE
APC/C-mediated degradation of cell cycle proteins	0.06118845549903636	FALSE
Regulation of mitotic cell cycle	0.06118845549903636	FALSE
rRNA modification in the nucleus and cytosol	0.06118845549903636	FALSE
cell division	0.06259713054172326	TRUE
Disease	0.06355514509992727	FALSE
G1/S Transition	0.0643004516940901	FALSE
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.0643004516940901	FALSE
DNA Double Strand Break Response	0.0643004516940901	FALSE
Diseases of Immune System	0.0643004516940901	FALSE
Defects in Toll-like Receptor Cascades	0.0643004516940901	FALSE
Positive epigenetic regulation of rRNA expression	0.0643004516940901	TRUE
Gene expression (Transcription)	0.06460598128657197	TRUE
Synthesis of DNA	0.06564851573331897	FALSE
TP53 Regulates Metabolic Genes	0.06567642964698332	FALSE
FRS-mediated FGFR2 signaling	0.06828551826676639	FALSE
Regulation of TP53 Activity through Phosphorylation	0.0699294958597877	FALSE
FRS-mediated FGFR3 signaling	0.07022741132507723	FALSE
FRS-mediated FGFR4 signaling	0.07022741132507723	FALSE
Nucleotide Excision Repair	0.07022741132507723	FALSE
Selenocysteine synthesis	0.07022741132507723	FALSE
Cyclin A/B1/B2 associated events during G2/M transition	0.0703978274420584	TRUE
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	0.0703978274420584	FALSE
Presynaptic phase of homologous DNA pairing and strand exchange	0.07047180732138814	TRUE
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	0.0707099523495057	FALSE
Nitric oxide stimulates guanylate cyclase	0.0707099523495057	FALSE
Transcriptional activation of mitochondrial biogenesis	0.0707099523495057	FALSE
Activation of ATR in response to replication stress	0.0707099523495057	FALSE
Formation of TC-NER Pre-Incision Complex	0.0708262572488009	FALSE
Downstream signaling of activated FGFR2	0.07100842504217762	FALSE
Trafficking of GluR2-containing AMPA receptors	0.07100842504217762	FALSE
SHC-related events triggered by IGF1R	0.07124146221902607	FALSE
Homology Directed Repair	0.07124146221902607	FALSE
Activation of the AP-1 family of transcription factors	0.07225614357018564	FALSE
Viral mRNA Translation	0.07467179572467122	FALSE
Interleukin-23 signaling	0.07474353775923454	FALSE
PTK6 Activates STAT3	0.07474353775923454	FALSE
Depolymerization of the Nuclear Lamina	0.07474353775923454	TRUE
Eukaryotic Translation Termination	0.07608839114908253	FALSE
APC/C:Cdc20 mediated degradation of Cyclin B	0.07679746748855801	TRUE
Inhibition of replication initiation of damaged DNA by RB1/E2F1	0.07679746748855801	FALSE
DNA Replication Pre-Initiation	0.07679746748855801	FALSE
Activation of NIMA Kinases NEK9, NEK6, NEK7	0.07679746748855801	TRUE
HIV Life Cycle	0.07685288696039287	FALSE
G2/M DNA replication checkpoint	0.07712834920573884	FALSE
Golgi Cisternae Pericentriolar Stack Reorganization	0.07731919576379707	TRUE
Eukaryotic Translation Elongation	0.07834720465317437	TRUE
Regulation of APC/C activators between G1/S and early anaphase	0.07836566724127683	TRUE
Transcriptional regulation by RUNX1	0.07850251772486977	FALSE
Activation of the pre-replicative complex	0.07851029902737042	TRUE
Peptide chain elongation	0.07851029902737042	TRUE
Telomere Maintenance	0.07851029902737042	FALSE
GABA synthesis, release, reuptake and degradation	0.07940653557293813	FALSE
Arachidonic acid metabolism	0.08029246515289988	FALSE
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	0.08034435244076624	FALSE
Processing of DNA double-strand break ends	0.08037313940346827	FALSE
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	0.08078929402040363	FALSE
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	0.08093893720192838	FALSE
RNA Polymerase III Transcription Initiation From Type 2 Promoter	0.08146016492744337	FALSE
Sensory perception of salty taste	0.08224231646723625	FALSE
Maturation of spike protein	0.08224231646723625	FALSE
Signaling by FGFR1 in disease	0.08224231646723625	FALSE
HDR through Homologous Recombination (HRR)	0.08230629215750904	FALSE
RAF-independent MAPK1/3 activation	0.08230629215750904	FALSE
Impaired BRCA2 binding to RAD51	0.08331634345040922	FALSE
Switching of origins to a post-replicative state	0.08357257249544553	FALSE
Mitochondrial biogenesis	0.084564076711352	FALSE
TP53 Regulates Transcription of Cell Cycle Genes	0.08583496871430173	FALSE
Gap-filling DNA repair synthesis and ligation in TC-NER	0.08583496871430173	FALSE
Regulation of RUNX1 Expression and Activity	0.08583496871430173	FALSE
Diseases of DNA repair	0.08583496871430173	FALSE
Diseases of DNA Double-Strand Break Repair	0.08583496871430173	FALSE
Defective homologous recombination repair (HRR) due to BRCA2 loss of function	0.08583496871430173	FALSE
Late Phase of HIV Life Cycle	0.08583496871430173	FALSE
Post-transcriptional silencing by small RNAs	0.08587427559299317	FALSE
Downstream signaling of activated FGFR3	0.08590432198572438	FALSE
Downstream signaling of activated FGFR4	0.08590432198572438	FALSE
Synthesis of diphthamide-EEF2	0.08776587206687973	FALSE
APC-Cdc20 mediated degradation of Nek2A	0.08776587206687973	TRUE
HDR through Single Strand Annealing (SSA)	0.08776587206687973	FALSE
SARS-CoV-2 activates/modulates innate and adaptive immune responses	0.08776587206687973	FALSE
Selenoamino acid metabolism	0.08776587206687973	FALSE
HIV Infection	0.08790660615201035	FALSE
Metabolism of proteins	0.08883773660951723	FALSE
DNA strand elongation	0.08883773660951723	FALSE
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0.08883773660951723	FALSE
NoRC negatively regulates rRNA expression	0.0889643499553584	FALSE
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	0.09046808978793211	FALSE
Pre-NOTCH Expression and Processing	0.09064177668831142	FALSE
Response of EIF2AK4 (GCN2) to amino acid deficiency	0.09064177668831142	TRUE
ESR-mediated signaling	0.09064177668831142	FALSE
Regulation of TLR by endogenous ligand	0.09064177668831142	FALSE
SUMOylation of nuclear envelope proteins	0.09065776232130338	FALSE
Formation of a pool of free 40S subunits	0.09161701241141637	FALSE
SUMO is proteolytically processed	0.09394423003556554	FALSE
Calcitonin-like ligand receptors	0.09413711853783543	FALSE
Regulation of PTEN mRNA translation	0.09504129366326228	TRUE
GTP hydrolysis and joining of the 60S ribosomal subunit	0.09592064612268103	FALSE
Cellular responses to stimuli	0.09628420019580389	FALSE
Generic Transcription Pathway	0.09672347922661131	TRUE
Cellular responses to stress	0.09768022464777999	FALSE
Activation of gene expression by SREBF (SREBP)	0.09788384038491058	TRUE
Formyl peptide receptors bind formyl peptides and many other ligands	0.09810724564339142	FALSE
Mitotic Prometaphase	0.09895032092233325	TRUE
Assembly of the pre-replicative complex	0.099970190776022	FALSE
Resolution of D-Loop Structures	0.10004260310167543	FALSE
Resolution of D-loop Structures through Holliday Junction Intermediates	0.10004260310167543	FALSE
Signaling by WNT in cancer	0.10122695663017764	FALSE
APC/C:Cdc20 mediated degradation of mitotic proteins	0.10354064378062415	FALSE
L13a-mediated translational silencing of Ceruloplasmin expression	0.10384053590396164	FALSE
Complement cascade	0.10497029388294025	FALSE
Host Interactions of HIV factors	0.10497029388294025	FALSE
Formation of the ternary complex, and subsequently, the 43S complex	0.10519388869597526	FALSE
Cohesin Loading onto Chromatin	0.10652883892916876	FALSE
Apoptosis induced DNA fragmentation	0.10701990538291879	TRUE
Cargo concentration in the ER	0.1072493442218071	FALSE
CTLA4 inhibitory signaling	0.1072493442218071	FALSE
PIWI-interacting RNA (piRNA) biogenesis	0.10770418533340316	FALSE
Dual incision in TC-NER	0.10784682358673227	FALSE
Defective GALNT3 causes HFTC	0.10784682358673227	FALSE
Activation of NOXA and translocation to mitochondria	0.1090198623159492	TRUE
Translation	0.1090198623159492	TRUE
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	0.11064070548582172	FALSE
RNA Polymerase II Transcription	0.11064070548582172	TRUE
RAF activation	0.11125476958130712	FALSE
Nef Mediated CD4 Down-regulation	0.11130864567200124	FALSE
Deposition of new CENPA-containing nucleosomes at the centromere	0.11130864567200124	FALSE
Nucleosome assembly	0.11130864567200124	FALSE
Processing of Capped Intronless Pre-mRNA	0.11158286543253775	FALSE
Eukaryotic Translation Initiation	0.11276613784717233	FALSE
Cap-dependent Translation Initiation	0.11276613784717233	FALSE
Regulation of TP53 Degradation	0.11471178371857411	FALSE
Regulation of TP53 Expression and Degradation	0.11471178371857411	FALSE
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	0.11751512313264544	FALSE
Purinergic signaling in leishmaniasis infection	0.11751512313264544	FALSE
Cell recruitment (pro-inflammatory response)	0.11751512313264544	FALSE
Defective homologous recombination repair (HRR) due to BRCA1 loss of function	0.11751512313264544	FALSE
Defective homologous recombination repair (HRR) due to PALB2 loss of function	0.11751512313264544	FALSE
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	0.11751512313264544	FALSE
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	0.11751512313264544	FALSE
Impaired BRCA2 binding to PALB2	0.11751512313264544	FALSE
Sensory perception of taste	0.11772552069279815	FALSE
SHC-mediated cascade:FGFR2	0.11842882010201004	FALSE
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.11913119081154043	FALSE
Gluconeogenesis	0.12188034418005547	FALSE
Signaling by FGFR4	0.12188034418005547	FALSE
TNFs bind their physiological receptors	0.12188034418005547	FALSE
RUNX3 Regulates Immune Response and Cell Migration	0.12244727822033513	FALSE
NPAS4 regulates expression of target genes	0.12311052953432126	FALSE
Disorders of transmembrane transporters	0.12378365190719591	FALSE
Scavenging by Class A Receptors	0.12497225340059842	FALSE
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	0.12501102598013253	FALSE
WNT5A-dependent internalization of FZD4	0.12625838380777396	FALSE
Ribosomal scanning and start codon recognition	0.12718949419331146	FALSE
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	0.1280267439446721	FALSE
TRIF-mediated programmed cell death	0.1280267439446721	FALSE
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	0.1285291523835925	FALSE
Extension of Telomeres	0.12954700192815422	FALSE
Translation initiation complex formation	0.12961684236166987	FALSE
B-WICH complex positively regulates rRNA expression	0.12961684236166987	FALSE
STAT5 Activation	0.13029853335326405	FALSE
Heme degradation	0.13029853335326405	FALSE
Blood group systems biosynthesis	0.13172464981011114	FALSE
NRIF signals cell death from the nucleus	0.13223984374410186	FALSE
Disinhibition of SNARE formation	0.13267994508289538	FALSE
IRAK2 mediated activation of TAK1 complex	0.13267994508289538	FALSE
Formation of axial mesoderm	0.1328842307697605	FALSE
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	0.1328842307697605	FALSE
TRAF6 mediated IRF7 activation	0.1328842307697605	TRUE
Nervous system development	0.1328842307697605	FALSE
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	0.1328842307697605	FALSE
Interleukin-20 family signaling	0.1337817770469724	FALSE
Regulation of Complement cascade	0.13739066733369526	FALSE
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.1381501456658017	FALSE
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.1381501456658017	FALSE
p75 NTR receptor-mediated signalling	0.13890106737469904	FALSE
OAS antiviral response	0.13923089375962813	FALSE
SUMOylation of DNA methylation proteins	0.13923089375962813	FALSE
Downregulation of SMAD2/3:SMAD4 transcriptional activity	0.1397068863047071	FALSE
SLBP independent Processing of Histone Pre-mRNAs	0.1397068863047071	FALSE
Cell death signalling via NRAGE, NRIF and NADE	0.14044305613868005	FALSE
Axon guidance	0.14044305613868005	FALSE
Primitive streak formation	0.14044305613868005	FALSE
Cellular response to starvation	0.14044305613868005	TRUE
FGFR2 alternative splicing	0.14117884054510968	FALSE
RAS signaling downstream of NF1 loss-of-function variants	0.1421710350265753	FALSE
Sialic acid metabolism	0.14316138129615277	FALSE
Fertilization	0.14316138129615277	FALSE
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	0.14316138129615277	FALSE
Synthesis of Lipoxins (LX)	0.14470507431495022	FALSE
Cellular response to chemical stress	0.14470507431495022	FALSE
Creatine metabolism	0.14691885952146588	FALSE
HuR (ELAVL1) binds and stabilizes mRNA	0.14716162501551297	FALSE
KSRP (KHSRP) binds and destabilizes mRNA	0.14719805055111862	FALSE
Termination of O-glycan biosynthesis	0.14736061127110645	FALSE
Orc1 removal from chromatin	0.14736061127110645	FALSE
Cytochrome P450 - arranged by substrate type	0.14746670292106878	FALSE
RORA activates gene expression	0.14746670292106878	FALSE
Transport of Mature Transcript to Cytoplasm	0.14746670292106878	FALSE
Formation of ATP by chemiosmotic coupling	0.14881971721522502	FALSE
Formation of the Early Elongation Complex	0.1496179567551423	FALSE
Formation of the HIV-1 Early Elongation Complex	0.1496179567551423	FALSE
Activated NTRK2 signals through FRS2 and FRS3	0.14962386008481063	FALSE
Signaling by CSF1 (M-CSF) in myeloid cells	0.1497431803460851	FALSE
PI5P Regulates TP53 Acetylation	0.14990752360948062	FALSE
Termination of translesion DNA synthesis	0.15020042784724025	FALSE
Activation of PUMA and translocation to mitochondria	0.15020042784724025	FALSE
Deadenylation-dependent mRNA decay	0.15020042784724025	FALSE
Downstream signaling of activated FGFR1	0.15020042784724025	FALSE
FGFR2 mutant receptor activation	0.15020042784724025	FALSE
Establishment of Sister Chromatid Cohesion	0.15020042784724025	FALSE
SHC-mediated cascade:FGFR3	0.15020042784724025	FALSE
SHC-mediated cascade:FGFR4	0.15020042784724025	FALSE
Keratinization	0.15101259861417735	FALSE
RHO GTPase Effectors	0.15101259861417735	FALSE
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	0.1532459909732802	FALSE
Transcriptional Regulation by MECP2	0.1534675299011611	FALSE
IRS-mediated signalling	0.15381450672606914	FALSE
Signaling by NTRK2 (TRKB)	0.15563293171225023	FALSE
Transport of Mature mRNA derived from an Intron-Containing Transcript	0.1559052084585514	FALSE
Signaling by cytosolic FGFR1 fusion mutants	0.15711207024075416	FALSE
Signaling by FGFR1	0.15970284837746485	FALSE
Myogenesis	0.15970284837746485	FALSE
Mitotic G2-G2/M phases	0.16034297544597578	FALSE
PCNA-Dependent Long Patch Base Excision Repair	0.16094042915044163	FALSE
Regulated proteolysis of p75NTR	0.16094042915044163	FALSE
APC/C:Cdc20 mediated degradation of Securin	0.16349145315414496	FALSE
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	0.1639516291406443	FALSE
Synthesis of IP2, IP, and Ins in the cytosol	0.16421138025751705	FALSE
MHC class II antigen presentation	0.16498798067096854	TRUE
Netrin mediated repulsion signals	0.1687244652857948	FALSE
TP53 Regulates Transcription of DNA Repair Genes	0.1689521099161689	FALSE
Sema3A PAK dependent Axon repulsion	0.1689521099161689	FALSE
Common Pathway of Fibrin Clot Formation	0.1689521099161689	FALSE
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	0.1689521099161689	FALSE
PRC2 methylates histones and DNA	0.16918364610942274	FALSE
Metabolism of folate and pterines	0.17002895888444766	FALSE
Polymerase switching	0.17126475239890415	FALSE
Leading Strand Synthesis	0.17126475239890415	FALSE
mRNA decay by 5' to 3' exoribonuclease	0.17608385473996038	FALSE
Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.17674812528568765	FALSE
Activation of HOX genes during differentiation	0.17674812528568765	FALSE
Prolonged ERK activation events	0.17718696066313083	TRUE
Post-translational protein modification	0.17718696066313083	FALSE
Mitochondrial calcium ion transport	0.1810639105538055	FALSE
cGMP effects	0.18174801832910156	FALSE
Defective CHST3 causes SEDCJD	0.18573370224091457	FALSE
UCH proteinases	0.18617004349635555	TRUE
G2/M Transition	0.18733174829853147	FALSE
